2023-12-18 09:48:59,579 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 09:49:00,581 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 09:49:01,583 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 09:49:02,585 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 09:49:03,588 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 09:49:04,590 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 09:49:05,592 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 09:49:06,594 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 09:49:07,597 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 09:49:08,599 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 09:49:09,601 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 09:49:10,603 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 09:49:11,605 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 09:49:12,607 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 09:49:13,610 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 09:49:14,612 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 09:49:15,614 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 09:49:16,618 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 09:49:17,620 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 09:49:18,623 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 09:49:19,625 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 09:49:20,627 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 09:49:21,629 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 09:49:22,631 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 09:49:23,633 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 09:49:24,635 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 09:49:25,638 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 09:52:54,892 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 09:52:55,894 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 09:52:56,897 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 09:52:57,899 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 09:52:58,901 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 09:52:59,903 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 09:53:00,905 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 09:53:01,907 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 09:53:02,908 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 09:53:03,911 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 09:53:04,913 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 09:53:05,915 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 09:53:06,918 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 09:53:07,920 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 09:53:08,922 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 09:53:09,923 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 09:53:10,926 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 09:53:11,930 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:01:35,939 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
